tiempo_s,angulo_sim_deg,error_sim_deg,pwm_sim,angulo_real_deg,error_real_deg,pwm_real
0.000,-50.0,50.0,1320.693112045449,-49.05,49.05,1375.0580719421987
0.020,-49.999169088755,49.999169088755,1320.693097543312,-50.55,50.55,1374.4791114052623
0.040,-49.99667638263655,49.99667638263655,1320.6930540373828,-50.25,50.25,1368.4863566350261
0.060,-49.992521964493335,49.992521964493335,1320.6929815291078,-50.25,50.25,1364.0247832125592
0.080,-49.986705972403485,49.986705972403485,1320.6928800208964,-50.4,50.4,1360.4819709866663
0.100,-49.97922859966991,49.97922859966991,1320.6927495161228,-50.4,50.4,1356.8496202437263
0.120,-49.97009009481395,49.97009009481395,1320.6925900191245,-50.4,50.4,1353.5928831944111
0.140,-49.959290761567054,49.959290761567054,1320.6924015352022,-50.4,50.4,1350.6729703693975
0.160,-49.946830958860716,49.946830958860716,1320.692184070621,-50.25,50.25,1347.5975825535463
0.180,-49.93271110081455,49.93271110081455,1320.6919376326082,-49.5,49.5,1343.0086176220839
0.200,-49.91693165672251,49.91693165672251,1320.6916622293545,-47.85,47.85,1336.140903889268
0.220,-49.89949315103729,49.89949315103729,1320.6913578700137,-45.75,45.75,1328.592637424525
0.240,-49.88039616335291,49.88039616335291,1320.6910245647014,-43.5,43.5,1321.3442789912224
0.260,-49.85964132838546,49.85964132838546,1320.6906623244954,-41.7,41.7,1316.1932869456311
0.280,-49.837229335951946,49.837229335951946,1320.6902711614357,-40.5,40.5,1313.3853944517912
0.300,-49.81316093094745,49.81316093094745,1320.6898510885226,-39.6,39.6,1311.7700272511916
0.320,-49.787436913320285,49.787436913320285,1320.6894021197181,-38.55,38.55,1309.8546980552442
0.340,-49.76005813804549,49.76005813804549,1320.6889242699444,-37.65,37.65,1308.583794471891
0.360,-49.73102551509634,49.73102551509634,1320.6884175550836,-37.2,37.2,1308.8073989156107
0.380,-49.70034000941416,49.70034000941416,1320.6878819919766,-37.2,37.2,1310.3759994193083
0.400,-49.668002640876225,49.668002640876225,1320.6873175984242,-37.95,37.95,1314.0705595758072
0.420,-49.634014484261854,49.634014484261854,1320.6867243931847,-38.7,38.7,1317.3920118677863
0.440,-49.5983766692167,49.5983766692167,1320.6861023959739,-38.7,38.7,1318.091316873474
0.460,-49.56109038021523,49.56109038021523,1320.685451627465,-38.1,38.1,1316.888728602896
0.480,-49.52215685652129,49.52215685652129,1320.6847721092872,-37.05,37.05,1314.431724667545
0.500,-49.481577392147024,49.481577392147024,1320.6840638640251,-35.7,35.7,1311.3025233637588
0.520,-49.439353335809734,49.439353335809734,1320.6833269152185,-33.75,33.75,1306.6522779156778
0.540,-49.395486090887154,49.395486090887154,1320.6825612873608,-31.35,31.35,1301.089122348166
0.560,-49.34997711537078,49.34997711537078,1320.6817670058988,-28.8,28.8,1295.6175098848173
0.580,-49.302827921817375,49.302827921817375,1320.6809440972318,-26.55,26.55,1291.5988981326589
0.600,-49.254040077298754,49.254040077298754,1320.6800925887098,-25.2,25.2,1290.7164957865032
0.620,-49.20361520334966,49.20361520334966,1320.6792125086345,-24.15,24.15,1290.82601175843
0.640,-49.15155497591389,49.15155497591389,1320.6783038862563,-22.95,22.95,1290.455673863337
0.660,-49.09786112528857,49.09786112528857,1320.677366751775,-21.6,21.6,1289.6534145363237
0.680,-49.04253543606667,49.04253543606667,1320.676401136337,-20.4,20.4,1289.3772457910816
0.700,-48.98557974707769,48.98557974707769,1320.6754070720365,-19.35,19.35,1289.5744364249065
0.720,-48.92699595132654,48.92699595132654,1320.6743845919123,-18.45,18.45,1290.1977022594683
0.740,-48.86678599593057,48.86678599593057,1320.6733337299481,-17.55,17.55,1290.7471281107582
0.760,-48.80495188205497,48.80495188205497,1320.672254521071,-16.5,16.5,1290.772814914385
0.780,-48.74149566484616,48.74149566484616,1320.6711470011498,-15.6,15.6,1291.2422596410563
0.800,-48.67641945336351,48.67641945336351,1320.6700112069948,-15.15,15.15,1293.0262675737724
0.820,-48.609725410509256,48.609725410509256,1320.6688471763555,-14.7,14.7,1294.62136301762
0.840,-48.54141575295661,48.54141575295661,1320.6676549479203,-14.4,14.4,1296.504565919316
0.860,-48.47149275107607,48.47149275107607,1320.6664345613146,-14.25,14.25,1298.6477304645218
0.880,-48.39995872885998,48.39995872885998,1320.6651860570996,-13.5,13.5,1298.7380413498827
0.900,-48.32681606384528,48.32681606384528,1320.6639094767716,-13.5,13.5,1301.0986884525496
0.920,-48.252067187034484,48.252067187034484,1320.662604862759,-13.35,13.35,1302.7581715541116
0.940,-48.175714582814884,48.175714582814884,1320.661272258423,-13.5,13.5,1305.15983471478
0.960,-48.09776078887597,48.09776078887597,1320.6599117080543,-13.35,13.35,1306.4001925577595
0.980,-48.01820839612511,48.01820839612511,1320.658523256873,-13.35,13.35,1307.9684978321955
1.000,-47.93706004860142,47.93706004860142,1320.657106951026,-13.05,13.05,1308.4599469021211
1.020,-47.85431844338786,47.85431844338786,1320.6556628375868,-13.05,13.05,1309.8125855150545
1.040,-47.76998633052165,47.76998633052165,1320.654190964552,-12.9,12.9,1310.5681522575178
1.060,-47.68406651290282,47.68406651290282,1320.6526913808418,-12.6,12.6,1310.7866950844912
1.080,-47.59656184620107,47.59656184620107,1320.651164136297,-12.15,12.15,1310.5220593286267
1.100,-47.507475238760875,47.507475238760875,1320.6496092816778,-9.9,9.9,1304.7898575431516
1.120,-47.416809651504785,47.416809651504785,1320.6480268686619,-6.9,6.9,1297.3379902371346
1.140,-47.324568097835034,47.324568097835034,1320.6464169498433,-4.05,4.05,1291.0810601943153
1.160,-47.230753643533404,47.230753643533404,1320.6447795787296,-2.1,2.1,1288.1848258390928
1.180,-47.13536940665929,47.13536940665929,1320.6431148097417,-0.45,0.45,1286.4818074986258
1.200,-47.038418557446086,47.038418557446086,1320.6414226982104,0.45,-0.45,1287.2245321870919
1.220,-46.93990431819583,46.93990431819583,1320.6397033003755,0.75,-0.75,1289.710954117958
1.240,-46.839829963172086,46.839829963172086,1320.6379566733833,0.75,-0.75,1292.8524080294667
1.260,-46.738198818491135,46.738198818491135,1320.636182875286,0.9,-0.9,1295.2119223135355
1.280,-46.63501426201142,46.63501426201142,1320.6343819650383,0.9,-0.9,1297.783667177464
1.300,-46.530279723221255,46.530279723221255,1320.632554002496,0.75,-0.75,1300.547335570597
1.320,-46.4239986831249,46.4239986831249,1320.6306990484138,0.75,-0.75,1302.5696880017695
1.340,-46.31617467412679,46.31617467412679,1320.6288171644442,0.6,-0.6,1304.840700984393
1.360,-46.20681127991421,46.20681127991421,1320.6269084131338,0.3,-0.3,1307.336306854942
1.380,-46.09591213533811,46.09591213533811,1320.6249728579235,0.15,-0.15,1309.1198938663017
