tiempo_s,angulo_sim_deg,error_sim_deg,pwm_sim,angulo_real_deg,error_real_deg,pwm_real
0.000,nan,nan,nan,0.0,0.0,1320.008405433435
0.050,nan,nan,nan,0.0,0.0,1320.0043869983303
0.123,nan,nan,nan,-0.75,0.75,1322.2883611359396
0.183,nan,nan,nan,-2.55,2.55,1327.5471358837885
0.303,nan,nan,nan,-6.75,6.75,1339.6024318179918
0.361,nan,nan,nan,-13.5,13.5,1358.235691017242
0.428,nan,nan,nan,-23.1,23.1,1383.7100767928212
0.554,nan,nan,nan,-34.8,34.8,1413.0622152959647
0.613,nan,nan,nan,-48.45,48.45,1445.4567924981427
0.680,nan,nan,nan,-46.35,46.35,1426.6138508052006
0.741,nan,nan,nan,-38.7,38.7,1392.7666608670424
0.865,nan,nan,nan,-33.45,33.45,1369.653384575967
0.934,nan,nan,nan,-30.75,30.75,1356.648756944683
0.993,nan,nan,nan,-30.75,30.75,1353.1937191692737
1.113,nan,nan,nan,-33.15,33.15,1357.4160364850068
1.176,nan,nan,nan,-37.8,37.8,1368.091138643703
1.241,nan,nan,nan,-44.4,44.4,1383.661813250905
1.307,nan,nan,nan,-51.45,51.45,1399.0683360517157
1.434,nan,nan,nan,-46.05,46.05,1374.9862243835607
1.489,nan,nan,nan,-42.3,42.3,1358.3662351658868
1.552,nan,nan,nan,-40.65,40.65,1349.8279763458008
1.675,nan,nan,nan,-41.1,41.1,1348.5593733314065
1.741,nan,nan,nan,-43.65,43.65,1353.8322350660778
1.806,nan,nan,nan,-47.7,47.7,1363.1635293383129
1.937,nan,nan,nan,-50.25,50.25,1366.999972646489
1.987,nan,nan,nan,-48.9,48.9,1358.5726939549065
2.054,nan,nan,nan,-49.05,49.05,1355.5768501801742
2.118,nan,nan,nan,-50.55,50.55,1357.0101244102248
2.238,nan,nan,nan,-49.65,49.65,1350.9917396902144
2.304,nan,nan,nan,-50.1,50.1,1349.7033461077938
2.363,nan,nan,nan,-50.25,50.25,1347.638302453382
2.488,nan,nan,nan,-50.4,50.4,1345.7886257615457
2.549,nan,nan,nan,-50.4,50.4,1343.6745611529418
2.616,nan,nan,nan,-50.4,50.4,1341.7793174627511
2.741,nan,nan,nan,-50.4,50.4,1340.0802971460867
2.803,nan,nan,nan,-50.4,50.4,1338.5572362970872
2.863,nan,nan,nan,-50.4,50.4,1337.19196365499
