PWM_1000,PWM_1050,PWM_1100,PWM_1150,PWM_1200,PWM_1250,PWM_1300,PWM_1350,PWM_1400,PWM_1450,PWM_1500,PWM_1550,PWM_1600,PWM_1650,PWM_1700,PWM_1750,PWM_1800,PWM_1850,PWM_1900,PWM_1950,PWM_2000
-0.0295,0.025,-0.0145,-0.0015,0.021,0.016,0.00200000000000022,0.017,0.0105,0.0105,0.0455,0.033,0.0075,0.0015,-0.0065,-0.005,-0.017,-0.002,-0.0205,-0.0425,-0.0315
-0.0239999999999998,-0.0075,0.0045,0.01,-0.003,0,0.0115,0.0105,0.00350000000000022,0.0185,0.001,-0.00549999999999978,0.0145,0.009,0.0155,0.003,-0.005,-0.014,-0.017,-0.0265,-0.0555
-0.0205,0.009,-0.0045,-0.002,0.0065,0.0105,0.007,0.005,0.01,0.00450000000000021,0.0145,0.0205,0.0065,0.001,0.0055,-0.000999999999999785,0.0005,-0.0045,-0.011,-0.036,-0.06
-0.025,0.00650000000000021,0.004,-0.000999999999999785,0.0055,0.0065,0.0045,0.00650000000000021,0.011,-0.0045,0.0135,0.0135,0.007,0.01,0.00200000000000022,-0.0055,-0.0025,-0.003,-0.025,-0.041,-0.04
-0.0335,0,0.0065,0.0005,0.004,0.0005,0.011,0.012,0.011,0.019,0.003,0,0.008,0.0135,0.0015,-0.001,-0.008,-0.014,-0.01,-0.0245,-0.032
-0.022,0.0025,-0.009,0.01,0.009,0.0075,0.012,0.017,0.0145,0.008,0.007,0.007,0.009,0.002,0.011,0.0025,-0.0075,-0.0115,-0.0125,-0.0295,-0.051
-0.0285,-0.0035,-0.007,0,0.002,0.008,0.0055,0.008,0.0065,0.0045,0.007,0.011,0.008,0.002,0.008,-0.007,-0.001,-0.001,-0.0125,-0.032,-0.0645
-0.024,0,0.011,0.0035,0.006,0.006,0.0065,0.01,0.011,0.0125,0.011,0.006,0.009,0.017,0.00200000000000022,-0.003,-0.0055,-0.009,-0.0215,-0.0385,-0.0395
-0.029,0.0045,0,0.009,0.0125,0.005,0.016,0.0135,0.011,0.0105,0.0085,0.0055,0.007,0.0045,-0.001,0.0055,-0.01,-0.0135,-0.0235,-0.0295,-0.035
-0.0265,-0.006,-0.001,0.0045,0,0.0035,0.0115,0.008,0.0085,0.0055,0.008,0.0055,0.0085,0.0025,0.012,-0.0045,-0.01,-0.005,-0.0135,-0.031,-0.063
