Tiempo (s) Experimento 1000 al inicio,Fuerza (N) Experimento 1000 al inicio,Tiempo (s) EXP 1 - 1050,Fuerza (N) EXP 1 - 1050,Tiempo (s) EXP 2 - 1050,Fuerza (N) EXP 2 - 1050,Tiempo (s) EXP 1- 1100,Fuerza (N) EXP 1- 1100,Tiempo (s) EXP 2 - 1100,Fuerza (N) EXP 2 - 1100,Tiempo (s) EXP 1- 1150,Fuerza (N) EXP 1- 1150,Tiempo (s) EXP 2 - 1150,Fuerza (N) EXP 2 - 1150,Tiempo (s) EXP 1- 1200,Fuerza (N) EXP 1- 1200,Tiempo (s) EXP 2 - 1200,Fuerza (N) EXP 2 - 1200,Tiempo (s) EXP 1- 1250,Fuerza (N) EXP 1- 1250,Tiempo (s) EXP 2 - 1250,Fuerza (N) EXP 2 - 1250,Tiempo (s) EXP 1- 1300,Fuerza (N) EXP 1- 1300,Tiempo (s) EXP 2 - 1300,Fuerza (N) EXP 2 - 1300,Tiempo (s) EXP 1- 1350,Fuerza (N) EXP 1- 1350,Tiempo (s) EXP 2 - 1350,Fuerza (N) EXP 2 - 1350,Tiempo (s) EXP 1- 1400,Fuerza (N) EXP 1- 1400,Tiempo (s) EXP 2 - 1400,Fuerza (N) EXP 2 - 1400,Tiempo (s) EXP 1- 1450,Fuerza (N) EXP 1- 1450,Tiempo (s) EXP 2 - 1450,Fuerza (N) EXP 2 - 1450,Tiempo (s) EXP 1- 1500,Fuerza (N) EXP 1- 1500,Tiempo (s) EXP 2 - 1500,Fuerza (N) EXP 2 - 1500,Tiempo (s) EXP 1- 1550,Fuerza (N) EXP 1- 1550,Tiempo (s) EXP 2 - 1550,Fuerza (N) EXP 2 - 1550,Tiempo (s) EXP 1- 1600,Fuerza (N) EXP 1- 1600,Tiempo (s) EXP 2 - 1600,Fuerza (N) EXP 2 - 1600,Tiempo (s) EXP 1- 1650,Fuerza (N) EXP 1- 1650,Tiempo (s) EXP 2 - 1650,Fuerza (N) EXP 2 - 1650,Tiempo (s) EXP 1- 1700,Fuerza (N) EXP 1- 1700,Tiempo (s) EXP 2 - 1700,Fuerza (N) EXP 2 - 1700,Tiempo (s) EXP 1- 1750,Fuerza (N) EXP 1- 1750,Tiempo (s) EXP 2 - 1750,Fuerza (N) EXP 2 - 1750,Tiempo (s) EXP 1- 1800,Fuerza (N) EXP 1- 1800,Tiempo (s) EXP 2 - 1800,Fuerza (N) EXP 2 - 1800,Tiempo (s) EXP 1- 1850,Fuerza (N) EXP 1- 1850,Tiempo (s) EXP 2 - 1850,Fuerza (N) EXP 2 - 1850,Tiempo (s) EXP 1- 1900,Fuerza (N) EXP 1- 1900,Tiempo (s) EXP 2 - 1900,Fuerza (N) EXP 2 - 1900,Tiempo (s) EXP 1- 1950,Fuerza (N) EXP 1- 1950,Tiempo (s) EXP 2 - 1950,Fuerza (N) EXP 2 - 1950,Tiempo (s) EXP 1- 2000,Fuerza (N) EXP 1- 2000,Tiempo (s) EXP 2 - 2000,Fuerza (N) EXP 2 - 2000,Tiempo (s) Experimento 1000 al final,Fuerza (N) Experimento 1000 al final
"0,000","0,004","0,000","-0,036","0,000","-0,014","0,000","-0,007","0,000","0,036","0,000","0,005","0,000","-0,002","0,000","-0,029","0,000","-0,013","0,000","-0,011","0,000","-0,021","0,000","-4,302E-16","0,000","-0,004","0,000","-0,030","0,000","-0,004","0,000","-0,014","0,000","-0,007","0,000","-0,007","0,000","-0,014","0,000","-0,025","0,000","-0,066","0,000","-0,055","0,000","-0,011","0,000","-0,013","0,000","-0,002","0,000","-0,014","0,000","0,011","0,000","-0,021","0,000","0,034","0,000","0,005","0,000","0,005","0,000","0,009","0,000","0,025","0,000","-0,030","0,000","0,034","0,000","-0,005","0,000","0,046","0,000","0,021","0,000","0,064","0,000","0,020","0,000","0,043","0,000","0,055"
"0,050","-4,302E-16","0,050","0,020","0,050","-0,005","0,050","0,004","0,050","-0,013","0,050","-0,004","0,050","-0,016","0,050","0,013","0,050","-0,007","0,050","-0,002","0,050","0,002","0,050","-0,018","0,050","-0,005","0,050","-0,014","0,050","-0,007","0,050","-0,007","0,050","-4,302E-16","0,050","-0,016","0,050","-0,021","0,050","-0,009","0,050","0,007","0,050","0,011","0,050","-4,302E-16","0,050","-0,013","0,050","-0,016","0,050","0,002","0,050","-0,020","0,050","-0,018","0,050","-0,013","0,050","-0,004","0,050","-0,002","0,050","0,005","0,050","0,005","0,050","0,021","0,050","0,007","0,050","0,009","0,050","0,025","0,050","0,005","0,050","0,048","0,050","0,061","0,050","0,050","0,050","0,048"
"0,100","-0,002","0,100","-0,023","0,100","0,005","0,100","0,005","0,100","0,004","0,100","-0,007","0,100","0,011","0,100","-0,011","0,100","-0,002","0,100","-0,014","0,100","-0,007","0,100","-0,007","0,100","-0,007","0,100","-0,005","0,100","-0,005","0,100","-0,004","0,100","-0,016","0,100","-0,009","0,100","-4,302E-16","0,100","-0,016","0,100","-0,013","0,100","-0,016","0,100","-0,025","0,100","-0,004","0,100","-0,009","0,100","-0,004","0,100","0,002","0,100","-0,009","0,100","-0,002","0,100","-4,302E-16","0,100","0,002","0,100","0,004","0,100","-0,005","0,100","0,004","0,100","0,005","0,100","0,004","0,100","0,018","0,100","0,027","0,100","0,045","0,100","0,050","0,100","0,070","0,100","0,043"
"0,150","0,002","0,150","-0,013","0,150","-4,302E-16","0,150","-0,004","0,150","-0,004","0,150","0,002","0,150","-4,302E-16","0,150","-0,004","0,150","-0,007","0,150","0,005","0,150","-0,018","0,150","0,005","0,150","-0,014","0,150","-0,013","0,150","-4,302E-16","0,150","-0,004","0,150","-0,018","0,150","0,007","0,150","0,002","0,150","-0,009","0,150","-0,018","0,150","-0,016","0,150","-0,011","0,150","-0,007","0,150","-0,007","0,150","-0,016","0,150","-0,004","0,150","-0,004","0,150","-4,302E-16","0,150","0,009","0,150","0,002","0,150","-0,002","0,150","0,007","0,150","-0,005","0,150","0,011","0,150","0,014","0,150","0,036","0,150","0,034","0,150","0,048","0,150","0,032","0,150","0,048","0,150","0,048"
"0,200","0,004","0,200","0,005","0,200","-0,005","0,200","-0,009","0,200","-0,004","0,200","-0,005","0,200","0,004","0,200","-0,004","0,200","-0,004","0,200","-0,005","0,200","0,004","0,200","-0,013","0,200","-0,009","0,200","-0,011","0,200","-0,013","0,200","-0,011","0,200","-0,011","0,200","-0,029","0,200","-0,009","0,200","-0,002","0,200","-0,004","0,200","0,002","0,200","-0,002","0,200","-0,007","0,200","-0,009","0,200","-0,009","0,200","-0,018","0,200","-0,005","0,200","0,002","0,200","-0,002","0,200","0,004","0,200","0,002","0,200","0,014","0,200","0,014","0,200","0,014","0,200","0,013","0,200","0,007","0,200","0,013","0,200","0,036","0,200","0,039","0,200","0,025","0,200","0,063"
"0,250","-0,004","0,250","-0,007","0,250","0,002","0,250","0,014","0,250","0,004","0,250","-0,007","0,250","-0,013","0,250","-0,014","0,250","-0,004","0,250","-0,011","0,250","-0,004","0,250","-0,011","0,250","-0,013","0,250","-0,018","0,250","-0,016","0,250","-0,018","0,250","-0,011","0,250","-0,009","0,250","-0,007","0,250","-0,016","0,250","0,002","0,250","-0,007","0,250","-0,007","0,250","-0,007","0,250","-0,011","0,250","-0,002","0,250","-0,002","0,250","-0,013","0,250","-0,009","0,250","-0,009","0,250","0,004","0,250","0,013","0,250","0,002","0,250","0,016","0,250","0,007","0,250","0,007","0,250","0,018","0,250","0,009","0,250","0,050","0,250","0,050","0,250","0,052","0,250","0,048"
"0,300","-0,002","0,300","-0,002","0,300","0,009","0,300","0,016","0,300","-0,002","0,300","0,005","0,300","-0,005","0,300","0,005","0,300","-0,009","0,300","-0,002","0,300","-0,014","0,300","-0,004","0,300","-0,007","0,300","-0,011","0,300","-0,005","0,300","-0,004","0,300","-0,009","0,300","0,004","0,300","-0,013","0,300","-0,005","0,300","-0,009","0,300","-0,011","0,300","-0,011","0,300","-0,005","0,300","-0,011","0,300","-0,011","0,300","0,007","0,300","-0,011","0,300","-0,005","0,300","0,009","0,300","0,005","0,300","0,004","0,300","-0,002","0,300","-0,002","0,300","0,004","0,300","0,002","0,300","0,023","0,300","0,021","0,300","0,043","0,300","0,054","0,300","0,075","0,300","0,059"
"0,350","-0,002","0,350","0,002","0,350","-0,002","0,350","-0,018","0,350","-0,004","0,350","-0,005","0,350","-0,002","0,350","-0,007","0,350","-0,005","0,350","-0,007","0,350","-0,005","0,350","-0,011","0,350","-0,002","0,350","-0,013","0,350","-0,007","0,350","-0,004","0,350","-0,018","0,350","-0,016","0,350","-0,009","0,350","-0,009","0,350","-0,013","0,350","-0,005","0,350","-0,007","0,350","-0,007","0,350","-0,011","0,350","-0,016","0,350","-0,018","0,350","-0,004","0,350","-4,302E-16","0,350","0,004","0,350","0,002","0,350","0,002","0,350","0,009","0,350","0,002","0,350","0,016","0,350","0,027","0,350","0,016","0,350","0,038","0,350","0,039","0,350","0,038","0,350","0,041","0,350","0,050"
"0,400","0,004","0,400","0,002","0,400","-0,011","0,400","-0,002","0,400","0,002","0,400","-0,011","0,400","-0,007","0,400","-0,018","0,400","-0,007","0,400","-0,005","0,400","-0,005","0,400","-0,011","0,400","-0,021","0,400","-0,020","0,400","-0,007","0,400","-0,013","0,400","-0,009","0,400","-0,014","0,400","-0,007","0,400","-0,013","0,400","-0,004","0,400","-0,007","0,400","-0,004","0,400","-0,007","0,400","-0,007","0,400","-0,002","0,400","-0,007","0,400","-0,005","0,400","0,007","0,400","-0,009","0,400","-0,002","0,400","0,009","0,400","0,011","0,400","0,014","0,400","0,013","0,400","0,029","0,400","0,018","0,400","0,014","0,400","0,045","0,400","0,032","0,400","0,038","0,400","0,054"
"0,450","0,005","0,450","0,005","0,450","0,007","0,450","0,004","0,450","-0,002","0,450","0,002","0,450","-0,011","0,450","0,005","0,450","-0,005","0,450","0,002","0,450","-0,009","0,450","-0,009","0,450","-0,014","0,450","-0,005","0,450","-0,011","0,450","-0,013","0,450","-0,004","0,450","-0,002","0,450","-0,009","0,450","-0,009","0,450","-0,007","0,450","-0,004","0,450","-0,007","0,450","-0,004","0,450","-0,013","0,450","-0,007","0,450","0,002","0,450","-0,013","0,450","-0,011","0,450","0,005","0,450","0,004","0,450","0,011","0,450","0,009","0,450","0,005","0,450","0,005","0,450","0,011","0,450","0,016","0,450","0,014","0,450","0,048","0,450","0,063","0,450","0,063","0,450","0,048"
"0,500","0,002","0,500","-0,007","0,500","0,004","0,500","-0,007","0,500","-0,007","0,500","-0,004","0,500","-0,013","0,500","-0,004","0,500","-0,002","0,500","-0,014","0,500","-0,004","0,500","-0,004","0,500","-4,302E-16","0,500","-0,014","0,500","-0,013","0,500","-0,013","0,500","-0,009","0,500","-0,004","0,500","-0,013","0,500","-0,007","0,500","-0,009","0,500","-0,002","0,500","-0,005","0,500","-0,007","0,500","-0,014","0,500","-0,014","0,500","-0,004","0,500","-0,011","0,500","-0,007","0,500","0,002","0,500","0,005","0,500","0,002","0,500","-0,002","0,500","0,007","0,500","0,011","0,500","0,016","0,500","0,016","0,500","0,011","0,500","0,057","0,500","0,054","0,500","0,050","0,500","0,052"
"0,550","0,002","0,550","-0,002","0,550","-0,002","0,550","-4,302E-16","0,550","-0,005","0,550","-0,009","0,550","-4,302E-16","0,550","-0,013","0,550","-0,016","0,550","-0,002","0,550","-0,011","0,550","-0,004","0,550","0,002","0,550","-0,011","0,550","-0,009","0,550","-0,009","0,550","-0,016","0,550","-0,014","0,550","-0,007","0,550","-0,004","0,550","-0,005","0,550","-0,021","0,550","-0,009","0,550","-0,007","0,550","-0,011","0,550","-0,005","0,550","-0,023","0,550","-4,302E-16","0,550","0,014","0,550","0,002","0,550","-0,002","0,550","0,005","0,550","0,005","0,550","0,005","0,550","0,009","0,550","0,011","0,550","0,027","0,550","0,027","0,550","0,041","0,550","0,021","0,550","0,030","0,550","0,050"
