tiempo_s,angulo_sim_deg,error_sim_deg,pwm_sim,angulo_real_deg,error_real_deg,pwm_real
0.000,nan,nan,nan,0.15,-0.15,1321.6653016283658
0.064,nan,nan,nan,0.0,0.0,1322.1298338719816
0.185,nan,nan,nan,-1.95,1.95,1328.0381901948988
0.252,nan,nan,nan,-6.75,6.75,1342.0501361728484
0.317,nan,nan,nan,-14.1,14.1,1362.444422633611
0.392,nan,nan,nan,-24.15,24.15,1389.0469052337426
0.502,nan,nan,nan,-36.45,36.45,1419.8729981952317
0.560,nan,nan,nan,-50.55,50.55,1453.1382557729276
0.690,nan,nan,nan,-45.15,45.15,1423.6430423730071
0.762,nan,nan,nan,-37.8,37.8,1391.188578774058
0.812,nan,nan,nan,-32.55,32.55,1368.4123823732893
0.881,nan,nan,nan,-30.15,30.15,1356.625046598494
1.002,nan,nan,nan,-30.45,30.45,1354.2648053028697
1.067,nan,nan,nan,-33.15,33.15,1359.4720767582671
1.122,nan,nan,nan,-38.1,38.1,1371.033637079284
1.251,nan,nan,nan,-44.85,44.85,1386.944932981974
1.312,nan,nan,nan,-51.15,51.15,1399.9134225485575
1.372,nan,nan,nan,-46.35,46.35,1377.7546394296976
1.443,nan,nan,nan,-43.35,43.35,1363.3233155841967
1.566,nan,nan,nan,-42.45,42.45,1356.755759606273
1.630,nan,nan,nan,-43.5,43.5,1356.8048977608157
1.687,nan,nan,nan,-46.2,46.2,1361.8933351019657
1.812,nan,nan,nan,-50.4,50.4,1371.060885739985
1.872,nan,nan,nan,-49.8,49.8,1364.686790576325
1.942,nan,nan,nan,-49.95,49.95,1361.252579867312
2.067,nan,nan,nan,-50.25,50.25,1358.6326419589263
2.124,nan,nan,nan,-50.25,50.25,1355.3719535875389
2.189,nan,nan,nan,-50.25,50.25,1352.448495996748
2.251,nan,nan,nan,-50.4,50.4,1350.2849590227547
2.372,nan,nan,nan,-50.4,50.4,1347.8894463522956
2.447,nan,nan,nan,-50.4,50.4,1345.7418196240938
2.511,nan,nan,nan,-50.4,50.4,1343.816479760384
2.632,nan,nan,nan,-50.4,50.4,1342.0904712894746
2.694,nan,nan,nan,-50.4,50.4,1340.5432093416518
2.752,nan,nan,nan,-50.4,50.4,1339.1562348381028
2.878,nan,nan,nan,-50.4,50.4,1337.9129949613769
2.943,nan,nan,nan,-50.4,50.4,1336.798646296571
3.000,nan,nan,nan,-50.4,50.4,1335.7998783020423
3.069,nan,nan,nan,-50.4,50.4,1334.904755010226
3.186,nan,nan,nan,-50.4,50.4,1334.102573075944
3.251,nan,nan,nan,-50.4,50.4,1333.383734484007
