Tiempo_1,Angulo_1,Tiempo_2,Angulo_2,Tiempo_3,Angulo_3
2,0.18,2,29.86,1,45.01
21,-1.47,22,27.46,21,44.77
41,0.52,42,32.13,41,45.80
61,-0.65,62,30.44,61,45.48
82,0.56,82,29.22,81,43.90
102,-2.51,102,28.81,101,58.74
122,-4.35,122,24.86,121,45.39
142,-2.59,142,29.03,142,46.57
162,-3.60,162,25.35,161,42.30
182,-2.84,183,25.60,181,44.15
202,-9.62,202,22.75,201,40.70
222,-10.95,222,18.93,221,36.48
242,-11.36,242,19.72,241,39.35
262,-15.17,262,16.02,261,35.79
282,-14.74,282,15.61,281,33.20
302,-20.18,302,11.46,301,32.95
322,-21.60,322,7.56,321,29.75
342,-25.53,342,6.87,341,27.70
362,-28.37,362,2.76,361,24.71
382,-29.15,382,1.06,381,23.19
402,-37.62,402,-3.26,401,20.55
423,-39.81,422,-8.00,421,17.24
442,-43.99,442,-9.83,442,14.48
462,-46.22,462,-15.18,462,10.21
482,-50.64,483,-18.20,482,7.35
502,-53.42,503,-22.11,502,4.58
522,41.37,523,-27.38,522,0.30
542,-17.83,543,-31.78,542,-4.88
562,-44.43,563,-37.62,562,-8.25
582,-21.88,583,-41.21,582,-13.27
602,-50.43,603,-46.58,602,-16.05
622,-17.88,623,-51.27,622,-22.47
642,-65.91,643,-35.24,642,-25.90
662,-9.39,663,-33.97,662,-32.08
682,-12.12,683,-50.77,682,-36.40
702,-53.18,703,-36.01,702,-40.62
722,-9.80,723,-50.84,722,-46.51
742,-45.93,743,-7.93,742,-50.60
762,-30.31,763,-40.65,762,-48.42
782,-27.49,783,-61.34,783,-63.59
802,-45.65,803,-19.17,803,-39.38
822,-32.41,824,-6.17,823,2.37
842,-30.16,844,-31.59,843,-48.57
862,-32.82,864,-8.07,863,10.55
882,-11.76,884,-32.65,883,-63.11
902,-40.86,904,3.64,903,-8.93
922,-13.69,924,-12.44,923,-13.48
942,-33.42,944,-29.90,943,-35.43
962,-23.72,964,-10.20,963,-31.13
982,-23.97,984,-25.75,983,-10.76
1002,-36.28,1004,-18.27,1003,-32.01
1022,-22.76,1024,-22.30,1023,-10.80
1042,-37.23,1044,-21.97,1043,-14.84
1063,-26.19,1064,-11.74,1063,-29.54
1082,-33.63,1084,-16.99,1083,-7.46
1102,-35.77,1104,-20.27,1103,-26.24
1122,-32.57,1124,-11.16,1124,-8.38
1142,-40.82,1144,-25.07,1143,-19.45
1162,-41.05,1165,-11.44,1163,-15.56
1182,-39.24,1184,-21.38,1183,-11.35
1202,-49.98,1204,-22.82,1203,-13.27
1222,-37.10,1224,-17.58,1223,-16.57
1242,-58.58,1244,-29.64,1243,-7.53
1262,-44.92,1264,-20.08,1263,-21.97
1282,-44.64,1284,-27.76,1283,-9.00
1302,-22.05,1304,-32.09,1303,-16.79
1322,-45.70,1324,-21.54,1323,-18.84
1342,-17.46,1344,-39.45,1343,-13.02
1362,-68.45,1364,-22.28,1363,-26.30
1382,-41.68,1384,-45.50,1383,-15.51
1402,-31.73,1404,-32.49,1403,-23.64
1422,-81.25,1424,-44.44,1423,-26.44
1442,-46.71,1444,-43.27,1443,-20.19
1462,-40.92,1464,-46.90,1463,-35.16
1482,-57.11,1484,-55.48,1483,-19.82
1502,-26.20,1504,-23.28,1503,-40.31
1522,-66.42,1524,-61.01,1523,-29.14
1542,-17.41,1544,-77.79,1543,-40.57
1562,-52.84,1564,-24.09,1563,-37.95
1582,-34.97,1584,-56.36,1583,-43.64
1602,-36.32,1604,-25.99,1603,-46.76
1622,-44.04,1624,-57.17,1623,-50.54
1642,-35.74,1644,-78.52,1643,-50.88
1662,-43.75,1664,-28.71,1663,10.77
1682,-35.65,1684,-51.02,1683,-3.13
1703,-36.88,1704,-67.23,1703,-4.59
1722,-45.62,1724,-19.36,1723,-22.34
1742,-41.71,1744,-61.94,1743,-57.51
1762,-40.34,1764,-18.80,1764,6.91
1782,-45.35,1784,-48.53,1783,-74.57
1802,-37.38,1805,-39.15,1803,-21.84
1822,-57.24,1824,-29.51,1823,-30.52
